x1,y1,x2,y2,x3,y3
0.0,0.0,149500000000.0,0.0,149500000000.0,384000000.0
0.0,0.0,149499973082.44943,107208000.0,149496293882.71582,491207930.8612901
0.0,0.0,149499919247.35938,214415980.69714987,149492560846.98236,598415773.2751985
0.0,0.0,149499811577.22214,321623922.7886506,149488773974.38214,705623438.7918386
0.0,0.0,149499650072.11383,428831787.66893435,149484933262.63882,812830888.7888627
0.0,0.0,149499434732.16458,536039536.73259956,149481038709.53,920038084.6389515
0.0,0.0,149499165557.54874,643247131.3744749,149477090312.87738,1027244987.7098538
0.0,0.0,149498842548.48492,750454532.9896865,149473088070.5469,1134451559.3644524
0.0,0.0,149498465705.2361,857661702.9737257,149469031980.44873,1241657760.960832
0.0,0.0,149498035028.1095,964868602.7225163,149464922040.53723,1348863553.852346
0.0,0.0,149497550517.45654,1072075193.6324823,149460758248.81094,1456068899.3876824
0.0,0.0,149497012173.67303,1179281437.100615,149456540603.31274,1563273758.9109325
0.0,0.0,149496419997.199,1286487294.5245407,149452269102.12973,1670478093.7616572
0.0,0.0,149495773988.51877,1393692727.302588,149447943743.39325,1777681865.274954
0.0,0.0,149495074148.16092,1500897696.8338552,149443564525.27893,1884885034.7815242
0.0,0.0,149494320476.6983,1608102164.5182776,149439131446.0067,1992087563.6077404
0.0,0.0,149493512974.74805,1715306091.756696,149434644503.84082,2099289413.0757139
0.0,0.0,149492651642.97156,1822509439.9509225,149430103697.08975,2206490544.5033607
0.0,0.0,149491736482.07443,1929712170.5038087,149425509024.10638,2313690919.2044706
0.0,0.0,149490767492.80664,2036914244.8193138,149420860483.2879,2420890498.488773
0.0,0.0,149489744675.96237,2144115624.3025706,149416158073.07587,2528089243.6620045
0.0,0.0,149488668032.38004,2251316270.359954,149411401791.95612,2635287116.025977
0.0,0.0,149487537562.94238,2358516144.399148,149406591638.45895,2742484076.878645
0.0,0.0,149486353268.57632,2465715207.8292136,149401727611.15897,2849680087.514172
0.0,0.0,149485115150.25308,2572913422.060655,149396809708.67514,2956875109.222998
0.0,0.0,149483823208.98807,2680110748.5054884,149391837929.6709,3064069103.291909
0.0,0.0,149482477445.841,2787307148.5773077,149386812272.85403,3171262031.0041018
0.0,0.0,149481077861.9158,2894502583.691354,149381732736.97675,3278453853.639253
0.0,0.0,149479624458.36066,3001697015.2645807,149376599320.8357,3385644532.4735866
0.0,0.0,149478117236.36795,3108890404.7157235,149371412023.27197,3492834028.779941
0.0,0.0,149476556197.17435,3216082713.4653654,149366170843.17105,3600022303.8278365
0.0,0.0,149474941342.0607,3323273902.936004,149360875779.4629,3707209318.883544
0.0,0.0,149473272672.35208,3430463934.552121,149355526831.12192,3814395035.210151
0.0,0.0,149471550189.41782,3537652769.7402477,149350123997.16702,3921579414.0676317
0.0,0.0,149469773894.6714,3644840369.929033,149344667276.66156,4028762416.7129116
0.0,0.0,149467943789.57056,3752026696.5493097,149339156668.71338,4135944004.399937
0.0,0.0,149466059875.61725,3859211711.0341635,149333592172.47482,4243124138.379743
0.0,0.0,149464122154.3576,3966395374.818999,149327973787.1427,4350302779.90052
0.0,0.0,149462130627.38196,4073577649.3416066,149322301511.9584,4457479890.207684
0.0,0.0,149460085296.32483,4180758496.0422325,149316575346.20776,4564655430.54394
0.0,0.0,149457986162.86493,4287937876.363642,149310795289.2212,4671829362.149354
0.0,0.0,149455833228.72516,4395115751.75119,149304961340.3736,4779001646.26142
0.0,0.0,149453626495.67255,4502292083.652885,149299073499.08447,4886172244.115127
0.0,0.0,149451365965.51837,4609466833.51946,149293131764.8178,4993341116.943025
0.0,0.0,149449051640.11804,4716639962.804437,149287136137.08218,5100508225.975297
0.0,0.0,149446683521.3711,4823811432.964194,149281086615.43073,5207673532.439823
0.0,0.0,149444261611.22128,4930981205.458036,149274983199.46115,5314836997.562253
0.0,0.0,149441785911.65643,5038149241.748258,149268825888.8157,5421998582.566069
0.0,0.0,149439256424.7086,5145315503.300211,149262614683.18124,5529158248.672657
0.0,0.0,149436673152.45383,5252479951.582375,149256349582.28925,5636315957.101374
0.0,0.0,149434036097.01248,5359642548.066421,149250030585.91574,5743471669.069615
0.0,0.0,149431345260.54892,5466803254.22728,149243657693.88138,5850625345.792883
0.0,0.0,149428600645.27167,5573962031.54321,149237230906.05142,5957776948.484855
0.0,0.0,149425802253.43332,5681118841.495863,149230750222.33572,6064926438.3574505
0.0,0.0,149422950087.3306,5788273645.570352,149224215642.68875,6172073776.620902
0.0,0.0,149420044149.30435,5895426405.255318,149217627167.10965,6279218924.48382
0.0,0.0,149417084441.73947,6002577082.042996,149210984795.64215,6386361843.153262
0.0,0.0,149414070967.06494,6109725637.429285,149204288528.37466,6493502493.834803
0.0,0.0,149411003727.7538,6216872032.913811,149197538365.4402,6600640837.732598
0.0,0.0,149407882726.3232,6324016229.999995,149190734307.01642,6707776836.049459
0.0,0.0,149404707965.3343,6431158190.195125,149183876353.32568,6814910449.986914
0.0,0.0,149401479447.39233,6538297875.010413,149176964504.63495,6922041640.745279
0.0,0.0,149398197175.14658,6645435245.961074,149169998761.25586,7029170369.52373
0.0,0.0,149394861151.29034,6752570264.5663805,149162979123.54477,7136296597.520365
0.0,0.0,149391471378.56094,6859702892.34974,149155905591.90265,7243420285.932275
0.0,0.0,149388027859.73975,6966833090.838754,149148778166.77512,7350541395.955613
0.0,0.0,149384530597.65213,7073960821.5652895,149141596848.65256,7457659888.785663
0.0,0.0,149380979595.16742,7181086046.065544,149134361638.07,7564775725.616903
0.0,0.0,149377374855.19897,7288208725.880114,149127072535.60718,7671888867.643082
0.0,0.0,149373716380.70416,7395328822.554057,149119729541.88846,7778999276.057278
0.0,0.0,149370004174.68427,7502446297.636965,149112332657.58295,7886106912.051974
0.0,0.0,149366238240.18454,7609561112.683025,149104881883.40445,7993211736.819127
0.0,0.0,149362418580.2942,7716673229.251092,149097377220.1115,8100313711.550231
0.0,0.0,149358545198.14642,7823782608.904748,149089818668.50732,8207412797.436385
0.0,0.0,149354618096.91837,7930889213.212377,149082206229.43982,8314508955.668369
0.0,0.0,149350637279.83102,8037993003.747223,149074539903.8016,8421602147.436707
0.0,0.0,149346602750.14935,8145093942.087464,149066819692.53006,8528692333.931731
0.0,0.0,149342514511.18222,8252191989.816277,149059045596.60724,8635779476.34366
0.0,0.0,149338372566.28232,8359287108.521898,149051217617.05997,8742863535.86266
0.0,0.0,149334176918.84634,8466379259.797699,149043335754.95972,8849944473.678915
0.0,0.0,149329927572.3148,8573468405.242245,149035400011.42273,8957022250.982697
0.0,0.0,149325624530.17203,8680554506.459368,149027410387.61,9064096828.964432
0.0,0.0,149321267795.9463,8787637525.058226,149019366884.72717,9171168168.81477
0.0,0.0,149316857373.2097,8894717422.65338,149011269504.02472,9278236231.724653
0.0,0.0,149312393265.5781,9001794160.864847,149003118246.7978,9385300978.885384
0.0,0.0,149307875476.71124,9108867701.318178,148994913114.3863,9492362371.488693
0.0,0.0,149303304010.31268,9215938005.644518,148986654108.17484,9599420370.726809
0.0,0.0,149298678870.12973,9323005035.480673,148978341229.5928,9706474937.792526
0.0,0.0,149294000059.95352,9430068752.469177,148969974480.11432,9813526033.879272
0.0,0.0,149289267583.61896,9537129118.258364,148961553861.25818,9920573620.181177
0.0,0.0,149284481445.0047,9644186094.50242,148953079374.588,10027617657.893147
0.0,0.0,149279641648.0332,9751239642.861465,148944551021.71216,10134658108.21092
0.0,0.0,149274748196.6706,9858289725.00161,148935968804.28366,10241694932.33115
0.0,0.0,149269801094.92676,9965336302.595022,148927332724.00037,10348728091.451464
0.0,0.0,149264800346.85532,10072379337.32,148918642782.60486,10455757546.770535
0.0,0.0,149259745956.55353,10179418790.861027,148909898981.8844,10562783259.488146
0.0,0.0,149254637928.16245,10286454624.90885,148901101323.67102,10669805190.80527
0.0,0.0,149249476265.8667,10393486801.160534,148892249809.84155,10776823301.924124
0.0,0.0,149244260973.89462,10500515281.31954,148883344442.3175,10883837554.048248
0.0,0.0,149238992056.51828,10607540027.09578,148874385223.0652,10990847908.38257
0.0,0.0,149233669518.05322,10714561000.205688,148865372154.09555,11097854326.133472
0.0,0.0,149228293362.85876,10821578162.372286,148856305237.46442,11204856768.508865
0.0,0.0,149222863595.33774,10928591475.32525,148847184475.2723,11311855196.718252
0.0,0.0,149217380219.93665,11035600900.800976,148838009869.6644,11418849571.972794
0.0,0.0,149211843241.1455,11142606400.54264,148828781422.83072,11525839855.485384
0.0,0.0,149206252663.498,11249607936.300274,148819499137.006,11632826008.47072
0.0,0.0,149200608491.57126,11356605469.830824,148810163014.4697,11739807992.145363
0.0,0.0,149194910729.98605,11463598962.89822,148800773057.546,11846785767.72781
0.0,0.0,149189159383.40665,11570588377.27344,148791329268.6038,11953759296.438562
0.0,0.0,149183354456.54083,11677573674.734571,148781831650.0568,12060728539.500196
0.0,0.0,149177495954.13983,11784554817.066885,148772280204.36337,12167693458.13743
0.0,0.0,149171583880.99847,11891531766.062895,148762674934.02664,12274654013.57719
0.0,0.0,149165618241.95496,11998504483.522427,148753015841.59442,12381610167.048685
0.0,0.0,149159599041.89102,12105472931.252678,148743302929.65933,12488561879.783468
0.0,0.0,149153526285.73178,12212437071.068293,148733536200.85864,12595509113.015509
