x1,y1,x2,y2,x3,y3
0.0,0.0,149500000000.0,0.0,149500000000.0,384000000.0
0.0,0.0,149499950010.2632,107208000.0,149496270810.75793,491207871.59953874
0.0,0.0,149499850030.79477,214415964.15183315,149492491630.09464,598415578.9395981
0.0,0.0,149499650071.90674,321623856.6073667,149488612466.63248,705622957.7559464
0.0,0.0,149499350133.66333,428831605.67029715,149484633316.06683,812829936.3209188
0.0,0.0,149498950216.18268,536039139.6443255,149480554174.14688,920036442.8971949
0.0,0.0,149498450319.60345,643246386.8330933,149476375036.64203,1027242405.7376484
0.0,0.0,149497850444.08487,750453275.5401311,149472095899.34198,1134447753.085294
0.0,0.0,149497150589.80667,857659734.0688065,149467716758.05682,1241652413.1732342
0.0,0.0,149496350756.96902,964865690.7222725,149463237608.61697,1348856314.2246068
0.0,0.0,149495450945.79276,1072071073.8034157,149458658446.8731,1456059384.4525306
0.0,0.0,149494451156.5191,1179275811.6148045,149453979268.69632,1563261552.0600538
0.0,0.0,149493351389.40988,1286479832.4586375,149449200069.97806,1670462745.2401001
0.0,0.0,149492151644.7474,1393683064.6366918,149444320846.6301,1777662892.175416
0.0,0.0,149490851922.83456,1500885436.4502714,149439341594.58463,1884861921.038517
0.0,0.0,149489452223.9947,1608086876.2001545,149434262309.79422,1992059759.9916353
0.0,0.0,149487952548.57172,1715287312.1865427,149429082988.2318,2099256337.1866665
0.0,0.0,149486352896.93008,1822486672.7090094,149423803625.89078,2206451580.7651167
0.0,0.0,149484653269.45474,1929684886.0664473,149418424218.7849,2313645418.858048
0.0,0.0,149482853666.5512,2036881880.5570168,149412944762.94846,2420837779.5860267
0.0,0.0,149480954088.6455,2144077584.4780953,149407365254.436,2528028591.0590696
0.0,0.0,149478954536.18423,2251271926.1262236,149401685689.32272,2635217781.376592
0.0,0.0,149476855009.6345,2358464833.797056,149395906063.70413,2742405278.627353
0.0,0.0,149474655509.48392,2465656235.785308,149390026373.6963,2849591010.889402
0.0,0.0,149472356036.2407,2572846060.3847027,149384046615.43573,2956774906.230027
0.0,0.0,149469956590.43356,2680034235.887922,149377966785.07944,3063956892.705701
0.0,0.0,149467457172.61182,2787220690.586553,149371786878.80496,3171136898.362027
0.0,0.0,149464857783.34528,2894405352.7710376,149365506892.81033,3278314851.233688
0.0,0.0,149462158423.22437,3001588150.7306194,149359126823.3141,3385490679.3443904
0.0,0.0,149459359092.85995,3108769012.7532916,149352646666.55536,3492664310.7068124
0.0,0.0,149456459792.88358,3215947867.1257477,149346066418.79376,3599835673.3225513
0.0,0.0,149453460523.9473,3323124642.133328,149339386076.30954,3707004695.182069
0.0,0.0,149450361286.72375,3430299266.0599666,149332605635.40347,3814171304.2646384
0.0,0.0,149447162081.9061,3537471667.1881423,149325725092.39694,3921335428.538292
0.0,0.0,149443862910.20807,3644641773.7988257,149318744443.6319,4028496995.9597664
0.0,0.0,149440463772.36398,3751809514.171428,149311663685.47095,4135655934.4744506
0.0,0.0,149436964669.12875,3858974816.583748,149304482814.29727,4242812172.016331
0.0,0.0,149433365601.2779,3966137609.3119206,149297201826.51468,4349965636.50794
0.0,0.0,149429666569.60742,4073297820.630367,149289820718.5477,4457116255.860302
0.0,0.0,149425867574.93402,4180455378.8117394,149282339486.84143,4564263957.972877
0.0,0.0,149421968618.0949,4287610212.126874,149274758127.86172,4671408670.73351
0.0,0.0,149417969699.9479,4394762248.844734,149267076638.0951,4778550322.018381
0.0,0.0,149413870821.37146,4501911417.232364,149259295014.04868,4885688839.691945
0.0,0.0,149409671983.26456,4609057645.554831,149251413252.2504,4992824151.606881
0.0,0.0,149405373186.54684,4716200862.075178,149243431349.2489,5099956185.60404
0.0,0.0,149400974432.15857,4823340995.054372,149235349301.61353,5207084869.51239
0.0,0.0,149396475721.0606,4930477972.751249,149227167105.9344,5314210131.148964
0.0,0.0,149391877054.23438,5037611723.422465,149218884758.82236,5421331898.318805
0.0,0.0,149387178432.682,5144742175.322445,149210502256.9091,5528450098.814912
0.0,0.0,149382379857.42618,5251869256.703326,149202019596.84702,5635564660.418189
0.0,0.0,149377481329.51025,5358992895.814914,149193436775.30936,5742675510.897389
0.0,0.0,149372482849.99826,5466113020.904622,149184753788.9902,5849782578.009061
0.0,0.0,149367384419.9748,5573229560.217428,149175970634.60443,5956885789.4974985
0.0,0.0,149362186040.54514,5680342441.995817,149167087308.88773,6063985073.094682
0.0,0.0,149356887712.83517,5787451594.479731,149158103808.5967,6171080356.520227
0.0,0.0,149351489437.99152,5894556945.906517,149149020130.50885,6278171567.481337
0.0,0.0,149345991217.18143,6001658424.510878,149139836271.4225,6385258633.672737
0.0,0.0,149340393051.59277,6108755958.524815,149130552228.15686,6492341482.776629
0.0,0.0,149334694942.43414,6215849476.177582,149121167997.55215,6599420042.462639
0.0,0.0,149328896890.93478,6322938905.695631,149111683576.46942,6706494240.387755
0.0,0.0,149322998898.34464,6430024175.302561,149102098961.79068,6813564004.196286
0.0,0.0,149317000965.93433,6537105213.219064,149092414150.41895,6920629261.519794
0.0,0.0,149310903094.99518,6644181947.662877,149082629139.2782,7027689939.977053
0.0,0.0,149304705286.83917,6751254306.848728,149072743925.31335,7134745967.173986
0.0,0.0,149298407542.79907,6858322218.988286,149062758505.49042,7241797270.703618
0.0,0.0,149292009864.2283,6965385612.290107,149052672876.79636,7348843778.146017
0.0,0.0,149285512252.501,7072444414.959581,149042487036.23914,7455885417.068244
0.0,0.0,149278914709.0121,7179498555.198886,149032200980.84784,7562922115.024297
0.0,0.0,149272217235.17712,7286547961.206931,149021814707.67258,7669953799.5550585
0.0,0.0,149265419832.4325,7393592561.179307,149011328213.78455,7776980398.188243
0.0,0.0,149258522502.23526,7500632283.308234,149000741496.27606,7884001838.438337
0.0,0.0,149251525246.06326,7607667055.782509,148990054552.26053,7991018047.806557
0.0,0.0,149244428065.4151,7714696806.787456,148979267378.8725,8098028953.780781
0.0,0.0,149237230961.81015,7821721464.50487,148968379973.2676,8205034483.8355055
0.0,0.0,149229933936.7885,7928740957.112974,148957392332.6227,8312034565.431788
